,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC
State requires elementary students to take physical education,,x,x,x,x,,x,x,x,x,x,,x,x,,x,
State requires middle school/junior high school students to take physical education,,x,x,x,x,,x,x,x,x,x,,x,x,,x,
State requires high school students to take physical education and/or to earn physical education credit for graduation,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x
State has requirement for minutes/ week that elementary students must participate in physical education,,x,,,,,,x,x,,,,,x,,x,
State has requirement for minutes/week that middle school/junior high students must participate in physical education,,x,,,,,,x,x,x,,,,x,,x,
State has requirement for minutes/ week that high school students must participate in physical education,,,,,,,,,,,,,,x,,x,
"State has additional funding available (beyond general education funding, special appropriation, or school district appropriations) for physical education programs",,,,,,x,x,,,,,x,,,,,x
State does not permit schools/districts to apply for a waiver from the state physical education requirements and does not allow students to apply for an exemption from required physical education participation or credit,,,x,x,,,,,,,,,,x,,x,
State does not permit school districts or schools to allow students to substitute other activities for required physical education credit,,,x,x,,,x,,,x,,,x,,,,x
State prohibits schools/districts from withholding physical activity as a punishment for students,,x,,,x,,,,,,,,,,,x,x
State prohibits schools/districts from using physical activity as a form of punishment for students,,x,,,x,,,,,,,,,,,x,x
State has adopted standards for physical education,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
State requires student assessment in physical education or student physical fitness assessment,,,x,,,,,x,x,,,,x,x,x,,x
State requires physical education teachers to be state certified/licensed and endorsed to teach physical education at the elementary level,x,x,x,x,,x,x,,x,,,,x,x,x,x,x
State requires physical education teachers to be state certified/licensed and endorsed to teach physical education at the middle school/junior high level,x,x,x,x,x,x,x,,x,,x,x,x,x,x,x,x
State requires physical education teachers to be state certified/licensed and endorsed to teach physical education at the high school level,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x