State,label1,label2,label3,label4,label5,label6
AL,AL,AL,,,AL,
AK,AK,,AK,AK,AK,AK
AZ, ,AZ,AZ,AZ,AZ,AZ
AR,AR,,,,,AR
CA,CA,CA,CA,CA,CA,CA
CO,CO,CO,CO,CO,CO,CO
CT,CT,CT,CT,CT,CT,CT
FL, ,,,,,
HI,HI,HI,HI,HI,HI,HI
IL,IL,IL,IL,,IL,IL
IA, ,IA,IA,IA,IA,IA
KS, ,,,,,
KY,KY,KY,KY,KY,KY,KY
LA, ,LA,,,,LA
ME, ,,,ME,ME,
MD, ,,,,,MD
MA, ,,,,,
MI, ,,,,,MI
MS,MS,,,,MS,MS
MO,MO,MO,MO,,,
MT,MT,MT,MT,,,MT
NE, ,,NE,NE,NE,NE
NV,NV,NV,,NV,NV,NV
NH, ,,,,NH,NH
NJ,NJ,,NJ,,NJ,NJ
NM,NM,NM,,,NM,
NY,NY,NY,NY,NY,NY,NY
NC, ,NC,NC,NC,NC,
ND,ND,,,,,
OH, ,,,OH,,
OK,OK,OK,,OK,OK,
PA,PA,PA,PA,PA,,PA
RI,RI,,RI,RI,,
SC, ,,,SC,,SC
SD, ,,SD,SD,SD,SD
TN,TN,TN,TN,,,TN
TX,TX,,,,TX,TX
UT,UT,UT,UT,UT,UT,UT
VA,,,,,VA,
WV,WV,WV,WV,WV,,WV
WI,,,,,WI,WI